Barcode,Treatment,Accession,Smarthouse,Position,NapDW,Na_mM,KpDW,K_mM,NapK
51162,S,M125,NE,L5P10,0.48,63.15,1.37,179.65,0.35
51164,S,M247,NE,L5P12,0.36,48.55,1.47,200.88,0.24
51165,C,M247,NE,L5P13,0.24,28.24,1.53,178.47,0.16
51167,S,M181,NE,L5P15,0.38,62.23,1.36,224.97,0.28
51169,S,M218,NE,L5P17,0.46,53.6,1.71,198,0.27
51170,S,M233,NE,L5P18,0.57,58.64,1.66,171.74,0.34
51172,S,M019,NE,L5P20,0.45,51.74,1.71,197.09,0.26
51174,S,M002,NE,L5P22,1.34,133.15,1.58,156.85,0.85
51176,S,M198,NE,L5P24,0.31,41.86,1.48,197.29,0.21
51179,S,M210,NE,L6P2,0.4,49.58,1.39,172.94,0.29
51180,S,M052,NE,L6P3,0.4,50.62,1.56,194.93,0.26
51183,S,M286,NE,L6P6,0.63,77.16,1.44,177.55,0.43
51187,S,M094,NE,L6P10,0.59,64.41,1.84,199.63,0.32
51189,S,M255,NE,L6P12,0.52,66.87,1.39,179.09,0.37
51190,S,M253,NE,L6P13,0.29,41.77,1.51,217.18,0.19
51191,C,M253,NE,L6P14,0.19,27.2,1.53,220.35,0.12
51193,C,M171,NE,L6P16,0.28,28.34,1.6,163.17,0.17
51194,S,M171,NE,L6P17,0.5,54,1.65,179.52,0.3
51197,S,M059,NE,L6P20,0.5,60.88,1.57,193.05,0.32
51201,S,M066,NE,L6P24,0.31,36.54,2.06,240.66,0.15
51203,S,M196,NE,L7P1,0.37,46.67,1.45,183.06,0.25
51205,S,M079,NE,L7P3,0.36,43.97,1.65,199.38,0.22
51208,S,M160,NE,L7P6,0.6,67.92,1.62,183.85,0.37
51209,S,M058,NE,L7P7,0.36,43.27,1.45,174.94,0.25
51212,S,M072,NE,L7P10,0.37,49.68,1.4,188.2,0.26
51213,S,M156,NE,L7P11,0.55,72.49,1.42,188.34,0.38
51216,S,M137,NE,L7P14,0.41,50.29,1.52,187.65,0.27
51218,S,M049,NE,L7P16,0.3,42.26,1.24,175.06,0.24
51219,C,M046,NE,L7P17,0.36,35.46,1.79,177.95,0.2
51220,S,M046,NE,L7P18,0.6,68.78,1.63,185.23,0.37
51222,C,M292,NE,L7P20,0.32,37.15,1.65,189.53,0.2
51223,S,M292,NE,L7P21,0.56,68.7,1.46,180.25,0.38
51224,S,M268,NE,L7P22,0.43,54.88,1.64,210.09,0.26
51226,S,M252,NE,L7P24,0.37,52.5,1.43,203.01,0.26
51229,S,M017,NE,L8P2,0.39,44.3,1.79,205.41,0.22
51230,S,M107,NE,L8P3,0.4,43.46,1.44,155.97,0.28
51232,S,M016,NE,L8P5,0.37,48.38,1.27,165.83,0.29
51235,S,M175,NE,L8P8,0.42,58.34,1.29,179.16,0.33
51236,S,M087,NE,L8P9,0.44,54.8,1.47,181.87,0.3
51239,S,M170,NE,L8P12,0.46,61.58,1.23,162.94,0.38
51241,S,M039,NE,L8P14,0.62,61.19,2.2,216.54,0.28
51243,S,M298,NE,L8P16,0.46,55.38,1.62,195.18,0.28
51244,S,M221,NE,L8P17,0.3,33.26,1.74,191.23,0.17
51246,S,M076,NE,L8P19,0.31,40.01,1.51,195.6,0.2
51248,S,M284,NE,L8P21,0.98,99.83,1.64,166.61,0.6
51249,C,M284,NE,L8P22,0.29,33.45,1.61,188.17,0.18
51251,S,M155,NE,L8P24,0.34,45.75,1.62,217.33,0.21
51252,C,M155,NE,L8P25,0.18,21.33,1.58,184.25,0.12
51254,S,M053,NE,L9P2,0.48,59.14,1.41,174.75,0.34
51255,C,M053,NE,L9P3,0.31,35.13,1.64,186.91,0.19
51257,C,M061,NE,L9P5,0.11,12.31,1.87,218.78,0.06
51258,S,M228,NE,L9P6,0.34,43.18,1.39,179.12,0.24
